hour,count
5,5845
17,5197
18,5168
19,4995
20,4257
11,4054
6,3858
22,3768
16,3525
8,3123
9,3053
21,2884
4,2718
14,2673
10,2531
12,2468
7,2442
13,2262
23,2078
15,2008
3,933
0,290
2,175
1,82
